displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
0.5,-5.0,-21.978450000000002,32.0,140.66208,-23.139406573573126,5.571624105588507,-5.391230085092172,1.2981278238647218,23.1512247224956,5.564875040378309,5.393983585265927,1.2965553650684352,0.0,0.0,0.0,0.0,0.2585126673441657,0.057718716343984275,0.23381715383332285,0.26074173949111246,0.1892097229874272
0.5,-4.0,-17.58276,32.0,140.66208,-24.081502663571346,3.806107364427471,-5.610728228542693,0.8867816235887018,24.100378539737218,3.810520444046355,5.615126102409699,0.8878098231466113,0.0,0.0,0.0,0.0,0.2557816493990025,0.05733107161944563,0.2266209171462706,0.2741296186259893,0.186136743209305
0.5,-3.0,-13.18707,32.0,140.66208,-24.64369551184912,3.4693285096454765,-5.741713048210468,0.8083158129746482,24.64611180848805,3.4757044601659985,5.742276019049538,0.8098013401059513,0.0,0.0,0.0,0.0,0.26521517907323056,0.058680927352995155,0.23002131546874413,0.25856662099546673,0.1875159571095768
0.5,-2.0,-8.79138,32.0,140.66208,-18.046108192317575,1.1150558065540828,-4.204546953091003,0.2597958764299807,18.05437710221493,1.1354235634084784,4.206473519170724,0.2645413422728545,0.0,0.0,0.0,0.0,0.26870199977465603,0.055900026949959145,0.24313518460334954,0.2596002958709399,0.17266249280110763
0.5,-1.0,-4.39569,32.0,140.66208,-4.033647255099767,0.9834612216352171,-0.9397959435649137,0.22913576926629675,4.058228401796826,0.918190117479698,0.9455230834195112,0.21392831183684372,0.0,0.0,0.0,0.0,0.2351427666451457,0.05376114978346792,0.22890882091658743,0.32882245596986537,0.15336480668494404
0.5,-0.75,-3.2967675,32.0,140.66208,-0.6337848615531023,1.9608370504555794,-0.14766498018075302,0.4568537081868267,0.6818719256305501,1.8912314548546276,0.15886874315253866,0.4406363613892133,0.0,0.0,0.0,0.0,0.23246981753141283,0.05152633009620955,0.21442228705541744,0.35543382090189385,0.14614774441507605
0.5,-0.5,-2.197845,32.0,140.66208,3.691583542066879,1.6321439822370918,0.8600988184524924,0.38027179790721805,-3.740057944158175,1.5151735283094074,-0.8713928269691116,0.3530189542235763,0.0,0.0,0.0,0.0,0.23105995171311372,0.04791916493642419,0.2011323058173891,0.39115447697905964,0.1287341005540225
0.5,-0.25,-1.0989225,32.0,140.66208,3.33272328845162,2.2874954279505597,0.7764882820507526,0.5329615576556037,-3.311318337986092,2.284113437804597,-0.7715011613762123,0.5321735907315417,0.0,0.0,0.0,0.0,0.23400004736893187,0.04376909563523514,0.19972472090108173,0.41288017878903716,0.10962595730572454
0.5,-0.1,-0.43956900000000004,32.0,140.66208,0.8966111500169369,1.3035800875475312,0.20890064709442427,0.3037199836550565,-0.9032639735373806,1.233806536921346,-0.21045068262364944,0.2874635051631146,0.0,0.0,0.0,0.0,0.2382526457784959,0.03915407179686071,0.2110491993086563,0.4138011004957285,0.09774298262026769
0.5,-0.05,-0.21978450000000002,32.0,140.66208,-0.032908967310346815,0.42131057784763976,-0.007667431490463666,0.09816078278575413,0.04088867909198382,0.3268505614876687,0.00952661755432143,0.0761526262490268,0.0,0.0,0.0,0.0,0.23407538139934225,0.03613340403589499,0.21581709264342477,0.4222494988640475,0.09172462305730278
0.5,0.05,0.21978450000000002,32.0,140.66208,0.5231723645108355,0.16359285960947673,0.1218934713071202,0.03811535717774805,0.5445722703482825,0.25752671901915447,0.12687941663817923,0.06000092486713902,0.0,0.0,0.0,0.0,0.23264121493868717,0.036292433169728744,0.2223526526067813,0.41815879251610255,0.09055490676871043
